,DataSetName,NominalEncoder,OrdinalEncoder,Score,Roc_auc_score
218,Nursery,HelmertEncoder,FrequencyEncoder,0.2684124386252046,0.45129862823588573
219,Nursery,HelmertEncoder,TargetEncoder,0.2684124386252046,0.45129862823588573
220,Nursery,LabelEncoder,BinaryEncoder,0.03530512041150339,0.2757805183628543
221,Nursery,LabelEncoder,HelmertEncoder,0.03530512041150339,0.27576090908718387
222,Nursery,LabelEncoder,LabelEncoder,0.03530512041150339,0.2757621502333916
223,Nursery,LabelEncoder,JamesSteinEncoder,0.2684124386252046,0.45129862823588573
224,Nursery,LabelEncoder,BaseNEncoder,0.03530512041150339,0.2757805183628543
225,Nursery,LabelEncoder,HashingEncoder,0.14098667290156652,0.3549174939443223
226,Nursery,LabelEncoder,SumEncoder,0.03530512041150339,0.2757513526785902
227,Nursery,LabelEncoder,OneHotEncoder,0.03530512041150339,0.2757427891869628
228,Nursery,LabelEncoder,FrequencyEncoder,0.2684124386252046,0.45129862823588573
229,Nursery,LabelEncoder,TargetEncoder,0.2684124386252046,0.45129862823588573
230,Nursery,JamesSteinEncoder,BinaryEncoder,0.24900631283610006,0.4364940792784157
231,Nursery,JamesSteinEncoder,HelmertEncoder,0.24900631283610006,0.4364940792784157
232,Nursery,JamesSteinEncoder,LabelEncoder,0.24900631283610006,0.4364940792784157
233,Nursery,JamesSteinEncoder,JamesSteinEncoder,0.3161094224924012,0.4893441154210308
234,Nursery,JamesSteinEncoder,BaseNEncoder,0.24900631283610006,0.4364940792784157
235,Nursery,JamesSteinEncoder,HashingEncoder,0.2889876081365443,0.4669197764886978
236,Nursery,JamesSteinEncoder,SumEncoder,0.24900631283610006,0.4364940792784157
237,Nursery,JamesSteinEncoder,OneHotEncoder,0.24900631283610006,0.4364940792784157
238,Nursery,JamesSteinEncoder,FrequencyEncoder,0.3161094224924012,0.4893441154210308
239,Nursery,JamesSteinEncoder,TargetEncoder,0.3161094224924012,0.4893441154210308
240,Nursery,BaseNEncoder,BinaryEncoder,0.03530512041150339,0.2757377627534244
241,Nursery,BaseNEncoder,HelmertEncoder,0.03530512041150339,0.2757246692867417
242,Nursery,BaseNEncoder,LabelEncoder,0.03530512041150339,0.2757377627534244
243,Nursery,BaseNEncoder,JamesSteinEncoder,0.2684124386252046,0.45129862823588573
244,Nursery,BaseNEncoder,BaseNEncoder,0.03530512041150339,0.2757377627534244
245,Nursery,BaseNEncoder,HashingEncoder,0.14098667290156652,0.3549270503529159
246,Nursery,BaseNEncoder,SumEncoder,0.03530512041150339,0.27574607801581025
247,Nursery,BaseNEncoder,OneHotEncoder,0.03530512041150339,0.2757370180656997
248,Nursery,BaseNEncoder,FrequencyEncoder,0.2684124386252046,0.45129862823588573
249,Nursery,BaseNEncoder,TargetEncoder,0.2684124386252046,0.45129862823588573
250,Nursery,HashingEncoder,BinaryEncoder,0.10708440495674539,0.3295476694433807
251,Nursery,HashingEncoder,HelmertEncoder,0.10708440495674539,0.3295476694433807
252,Nursery,HashingEncoder,LabelEncoder,0.10708440495674539,0.3295476694433807
253,Nursery,HashingEncoder,JamesSteinEncoder,0.2976385316810849,0.47397598921687684
254,Nursery,HashingEncoder,BaseNEncoder,0.10708440495674539,0.3295476694433807
255,Nursery,HashingEncoder,HashingEncoder,0.21066167874678512,0.40758759553374
256,Nursery,HashingEncoder,SumEncoder,0.10708440495674539,0.3295476694433807
257,Nursery,HashingEncoder,OneHotEncoder,0.10708440495674539,0.3295476694433807
258,Nursery,HashingEncoder,FrequencyEncoder,0.2976385316810849,0.47397598921687684
259,Nursery,HashingEncoder,TargetEncoder,0.2976385316810849,0.47397598921687684
260,Nursery,SumEncoder,BinaryEncoder,0.03530512041150339,0.2757571237998533
261,Nursery,SumEncoder,HelmertEncoder,0.03530512041150339,0.27575762025833644
262,Nursery,SumEncoder,LabelEncoder,0.03530512041150339,0.27574781562050116
263,Nursery,SumEncoder,JamesSteinEncoder,0.2684124386252046,0.45129862823588573
264,Nursery,SumEncoder,BaseNEncoder,0.03530512041150339,0.2757571237998533
265,Nursery,SumEncoder,HashingEncoder,0.14098667290156652,0.35492655389443284
266,Nursery,SumEncoder,SumEncoder,0.03530512041150339,0.27571536110738964
267,Nursery,SumEncoder,OneHotEncoder,0.03530512041150339,0.2757105829030928
268,Nursery,SumEncoder,FrequencyEncoder,0.2684124386252046,0.45129862823588573
269,Nursery,SumEncoder,TargetEncoder,0.2684124386252046,0.45129862823588573
270,Nursery,OneHotEncoder,BinaryEncoder,0.03530512041150339,0.27574781562050116
271,Nursery,OneHotEncoder,HelmertEncoder,0.03530512041150339,0.2757488085374674
272,Nursery,OneHotEncoder,LabelEncoder,0.03530512041150339,0.27571989108244493
273,Nursery,OneHotEncoder,JamesSteinEncoder,0.2684124386252046,0.45129862823588573
274,Nursery,OneHotEncoder,BaseNEncoder,0.03530512041150339,0.27574781562050116
275,Nursery,OneHotEncoder,HashingEncoder,0.14098667290156652,0.35492655389443284
276,Nursery,OneHotEncoder,SumEncoder,0.03530512041150339,0.27570580469879596
277,Nursery,OneHotEncoder,OneHotEncoder,0.03530512041150339,0.27571536110738964
278,Nursery,OneHotEncoder,FrequencyEncoder,0.2684124386252046,0.45129862823588573
279,Nursery,OneHotEncoder,TargetEncoder,0.2684124386252046,0.45129862823588573
280,Nursery,FrequencyEncoder,BinaryEncoder,0.24900631283610006,0.4364940792784157
281,Nursery,FrequencyEncoder,HelmertEncoder,0.24900631283610006,0.4364940792784157
282,Nursery,FrequencyEncoder,LabelEncoder,0.24900631283610006,0.4364940792784157
283,Nursery,FrequencyEncoder,JamesSteinEncoder,0.3161094224924012,0.4893441154210308
284,Nursery,FrequencyEncoder,BaseNEncoder,0.24900631283610006,0.4364940792784157
285,Nursery,FrequencyEncoder,HashingEncoder,0.2889876081365443,0.4669197764886978
286,Nursery,FrequencyEncoder,SumEncoder,0.24900631283610006,0.4364940792784157
287,Nursery,FrequencyEncoder,OneHotEncoder,0.24900631283610006,0.4364940792784157
288,Nursery,FrequencyEncoder,FrequencyEncoder,0.3161094224924012,0.4893441154210308
289,Nursery,FrequencyEncoder,TargetEncoder,0.3161094224924012,0.4893441154210308
290,Nursery,TargetEncoder,BinaryEncoder,0.24900631283610006,0.4364940792784157
291,Nursery,TargetEncoder,HelmertEncoder,0.24900631283610006,0.4364940792784157
292,Nursery,TargetEncoder,LabelEncoder,0.24900631283610006,0.4364940792784157
293,Nursery,TargetEncoder,JamesSteinEncoder,0.3161094224924012,0.4893441154210308
294,Nursery,TargetEncoder,BaseNEncoder,0.24900631283610006,0.4364940792784157
295,Nursery,TargetEncoder,HashingEncoder,0.2889876081365443,0.4669197764886978
296,Nursery,TargetEncoder,SumEncoder,0.24900631283610006,0.4364940792784157
297,Nursery,TargetEncoder,OneHotEncoder,0.24900631283610006,0.4364940792784157
298,Nursery,TargetEncoder,FrequencyEncoder,0.3161094224924012,0.4893441154210308
299,Nursery,TargetEncoder,TargetEncoder,0.3161094224924012,0.4893441154210308
300,Heart,BinaryEncoder,BinaryEncoder,0.72,0.7257799671592775
301,Heart,BinaryEncoder,HelmertEncoder,0.72,0.7257799671592775
302,Heart,BinaryEncoder,LabelEncoder,0.72,0.7257799671592775
303,Heart,BinaryEncoder,JamesSteinEncoder,0.72,0.7257799671592775
304,Heart,BinaryEncoder,BaseNEncoder,0.72,0.7257799671592775
305,Heart,BinaryEncoder,HashingEncoder,0.72,0.7257799671592775
306,Heart,BinaryEncoder,SumEncoder,0.72,0.7257799671592775
307,Heart,BinaryEncoder,OneHotEncoder,0.72,0.7257799671592775
308,Heart,BinaryEncoder,FrequencyEncoder,0.72,0.7257799671592775
309,Heart,BinaryEncoder,TargetEncoder,0.72,0.7257799671592775
310,Heart,HelmertEncoder,BinaryEncoder,0.72,0.7257799671592775
311,Heart,HelmertEncoder,HelmertEncoder,0.72,0.7257799671592775
312,Heart,HelmertEncoder,LabelEncoder,0.72,0.7257799671592775
313,Heart,HelmertEncoder,JamesSteinEncoder,0.72,0.7257799671592775
314,Heart,HelmertEncoder,BaseNEncoder,0.72,0.7257799671592775
315,Heart,HelmertEncoder,HashingEncoder,0.72,0.7257799671592775
316,Heart,HelmertEncoder,SumEncoder,0.72,0.7257799671592775
317,Heart,HelmertEncoder,OneHotEncoder,0.72,0.7257799671592775
318,Heart,HelmertEncoder,FrequencyEncoder,0.72,0.7257799671592775
319,Heart,HelmertEncoder,TargetEncoder,0.72,0.7257799671592775
320,Heart,LabelEncoder,BinaryEncoder,0.72,0.7257799671592775
321,Heart,LabelEncoder,HelmertEncoder,0.72,0.7257799671592775
322,Heart,LabelEncoder,LabelEncoder,0.72,0.7257799671592775
323,Heart,LabelEncoder,JamesSteinEncoder,0.72,0.7257799671592775
324,Heart,LabelEncoder,BaseNEncoder,0.72,0.7257799671592775
