,DataSetName,NominalEncoder,OrdinalEncoder,Score
304,bridges,JamesSteinEncoder,OneHotEncoder,0.7142857142857143
305,bridges,JamesSteinEncoder,LabelEncoder,0.7142857142857143
306,bridges,JamesSteinEncoder,BinaryEncoder,0.7142857142857143
307,bridges,JamesSteinEncoder,FrequencyEncoder,0.7142857142857143
308,bridges,JamesSteinEncoder,TargetEncoder,0.7142857142857143
309,bridges,JamesSteinEncoder,HashingEncoder,0.7142857142857143
310,bridges,BaseNEncoder,JamesSteinEncoder,0.7142857142857143
311,bridges,BaseNEncoder,BaseNEncoder,0.7142857142857143
312,bridges,BaseNEncoder,HelmertEncoder,0.7142857142857143
313,bridges,BaseNEncoder,SumEncoder,0.7428571428571429
314,bridges,BaseNEncoder,OneHotEncoder,0.7428571428571429
315,bridges,BaseNEncoder,LabelEncoder,0.7142857142857143
316,bridges,BaseNEncoder,BinaryEncoder,0.7142857142857143
317,bridges,BaseNEncoder,FrequencyEncoder,0.7142857142857143
318,bridges,BaseNEncoder,TargetEncoder,0.7142857142857143
319,bridges,BaseNEncoder,HashingEncoder,0.7142857142857143
320,bridges,HelmertEncoder,JamesSteinEncoder,0.8
321,bridges,HelmertEncoder,BaseNEncoder,0.6857142857142857
322,bridges,HelmertEncoder,HelmertEncoder,0.7714285714285715
323,bridges,HelmertEncoder,SumEncoder,0.7714285714285715
324,bridges,HelmertEncoder,OneHotEncoder,0.8
325,bridges,HelmertEncoder,LabelEncoder,0.8
326,bridges,HelmertEncoder,BinaryEncoder,0.6857142857142857
327,bridges,HelmertEncoder,FrequencyEncoder,0.8
328,bridges,HelmertEncoder,TargetEncoder,0.8
329,bridges,HelmertEncoder,HashingEncoder,0.8
330,bridges,SumEncoder,JamesSteinEncoder,0.7142857142857143
331,bridges,SumEncoder,BaseNEncoder,0.8
332,bridges,SumEncoder,HelmertEncoder,0.6857142857142857
333,bridges,SumEncoder,SumEncoder,0.7142857142857143
334,bridges,SumEncoder,OneHotEncoder,0.8
335,bridges,SumEncoder,LabelEncoder,0.7142857142857143
336,bridges,SumEncoder,BinaryEncoder,0.8
337,bridges,SumEncoder,FrequencyEncoder,0.7142857142857143
338,bridges,SumEncoder,TargetEncoder,0.7142857142857143
339,bridges,SumEncoder,HashingEncoder,0.7142857142857143
340,bridges,OneHotEncoder,JamesSteinEncoder,0.7714285714285715
341,bridges,OneHotEncoder,BaseNEncoder,0.7714285714285715
342,bridges,OneHotEncoder,HelmertEncoder,0.6857142857142857
343,bridges,OneHotEncoder,SumEncoder,0.6857142857142857
344,bridges,OneHotEncoder,OneHotEncoder,0.8
345,bridges,OneHotEncoder,LabelEncoder,0.7714285714285715
346,bridges,OneHotEncoder,BinaryEncoder,0.7714285714285715
347,bridges,OneHotEncoder,FrequencyEncoder,0.7714285714285715
348,bridges,OneHotEncoder,TargetEncoder,0.7714285714285715
349,bridges,OneHotEncoder,HashingEncoder,0.7142857142857143
350,bridges,LabelEncoder,JamesSteinEncoder,0.8
